,review,label
1,"a guilty pleasure for me personally, as i love both 'the great escape' and most of the works i have seen, over the years, from this rightfully-esteemed british animation company. highly recommended both for children and for adults who enjoy animation.",high
6,"the first underwhelmed me, but this one straight-up bored me. again, of course seeing hunt climb a mountain without a harness is impressive sure. and i even quite liked the idea behind the villain of the piece (though even that angle was woefully underdeveloped).

even setting it in predominantly australia was enough to grab my attention, and that's saying something cause i'm pretty biased when it comes to that. i hear tell that _mission: impossible ii_ is the low point in the series, and that at least is encouraging, because if anything afterwards is much worse than this one, i don't know if i'll be able to make it through to rogue nation.

_final rating:★½: - boring/disappointing. avoid if possible._",low
7,"after quite entertainign mission impossible i the second installment turned out ... terrible. as if the screenwriters didn't know how to fill the 2 hrs with action the overuse of heroic slow motion scenes is horrible. you almost might need a barf bag if you can't stand slo-mo every five seconds... for 15 seconds. i am amazed they did decide to push on with more m:i movies after this one, then again, these turned out much much better even if it would be hard to beat that lousy piece of crap of a movie.",low
15,"okay, i will admit i can be a bit of an easy grader when it comes to romantic comedies, as long as they are witty with likable characters, don’t insult my intelligence and have suitable happy endings (i guess if they don’t end happily, they aren’t rom-coms).

i saw this movie many years ago, but had forgotten just enough of it to keep it fresh for me. like many movies, the plot relies on a huge coincidence or three. the story gets sappy and sentimental in places, is rather predictable and has too much religion to suit me, but that last thing may suit you just fine, praise be. it was co-written and directed by the actress bonnie hunt, who is a supporting character in the film.

but there is a spark of chemistry between the two lead characters, the dialogue is smart and sharp, and the movie is rich with its supporting cast, such as jim belushi, robert loggia and archie bunker - i mean carroll o’connor. plus i have liked minnie driver since circle of friends. 

just keep in mind this isn’t hitchcock or frank capra stuff and doesn’t try to be. just let it flow over you",high
20,"**_scream 3’s_ lackluster screenplay and unimaginative kills leave a film that is a bore to watch.**

the meta-narrative of trilogies throughout the film does not make up for how abysmal the plot was. this film creates so much lore for the past movies seemingly out of the blue, muddling up the continuity for shock value. it added very little to this film and felt forced. the entire plot point of sidney’s mother being a former hollywood actress was pretty lame, especially with the added plot point of her being sexually assaulted by a movie producer. it may be personal taste, but i absolutely despise when films add that plot point, as it feels incredibly hypocritical since it is something that genuinely happens to an industry, they are involved in. the love triangle between gale, dewey, and the gale actress was pretty dumb and felt undeserved, as we have not seen gale and dewey actually together in any of the films.

in horror films, you can have a good movie with a terrible plot as long as the kills are great. unfortunately, scream 3 continues the trend of having boring kills with no imagination. there has been only one truly unique kill throughout the entire franchise, and the rest are unbloody stab kills. i understand the meta being about stabbing with a knife, as the in-film movie is called stab, but please add some gore to it. there is nothing, no blood squirts or body horror, and it caused the entire movie to be boring.

our performances were exactly how i would describe scream 2, with both neve campbell and courtney cox being the standouts and david arquette being average at best. all of the new characters were pretty uninteresting, all of the actors in the film were annoying, and the movie producers felt generic.

the direction of this film felt pretty uninspired. i am not sure if wes craven was forced to make this movie by the studio, but nothing about it felt unique and creative. it felt like he was phoning it in for a paycheck.

overall, there were not a lot of redeeming qualities for this film, and it left me feeling unfulfilled as the final credits rolled. hoping scream iv has more in store for me than this lackluster film.

**score:** _45%_
**verdict:** _poor_",low
21,"all you people are so scared of me. most days i'd take that as a compliment. but it ain't me you gotta worry about now.

pitch black is directed by david twohy and collectively written by twohy and ken and jim wheat. it stars vin diesel, radha mitchell, cole hauser, keith david, lewis fitz-gerald, claudia black and rhiana griffith. music is by graeme revell and cinematography is by david eggby. 

the year 2000 was awash with sci-fi movies, not all were stellar of course, but siting at the top end of the scale was this, twohy's super slice of action/horror/sci-fi cake. 

right from the off we are thrust on board the cargo ship hunter-gratzner, which as it happens is plummeting through space. the ship has been hit by meteorite debris and junior officer caroline fly (mitchell), after coming out of hyper sleep, manages to crash land on a nearby planet. only a handful of passengers survive the crash, including infamous convict richard b. riddick (diesel), but as the survivors struggle to cope with the threat from within the group, it becomes apparent that there's a bigger threat soon to join the party, a deadly alien species, a species that can only operate in the dark. pity, then, that an eclipse is due... 

okies, so lets get the obvious out in the open right away, pitch black is a variant of alien, one of a ream of films that grabbed the coat tails of ridley scott's game changer. yet this is still a fresh movie, a lesson in low budget film making with grace, style, blood, brains and balls - the execution grade ""a"" from those involved. 

it's maybe surprising given the synopsis, to find that it's a very character driven piece, with twohy continually building his characters even as the carnage and terror is unleashed - and these are a very diverse bunch of characters. one of the universe's baddest criminals, a spunky lady officer having to take command, a morphine addicted bounty hunter, an islamic priest and his young companions, a camp alcoholic and a couple of strays. it's the not so wild bunch, but everyone of them are afforded chance to impact on the story before and during the inevitable picking off one by one at the claws of the beasts. 

the narrative strength comes via diesel's hulking convict, he's double jointed and has had optical surgery so he can see his enemies in the dark! the group must come to rely on him for he is clearly their best hope of survival, but can he be trusted? what is his ultimate ulterior motive? riddick is the épée to fry's foil, it's at times like a devil and angel trying to become one in the simple name of survival. these crux characters lift the simple premise to greater heights, that mitchell (sexy/vulnerable/hard/smart) and diesel (moody/beefy/gravelly/menacing) are bang on form helps no end. as does the work of the tech department. 

the setting created here is a splendid veer from one of the curses of sci-fi films, that of an unbelievable world. twohy, eggby and the art department achieve a world of 3 suns, of a scorched barren landscape, with the photography switching between bleached and metallic filters for maximum sci-fi impact. while the effects work belies the budget, check out the pre-eclipse sequence. what of the creatures themselves? they are legion, a sort of pterodactyl nightmare who let out high pitched bleats, they smell blood and move at high speeds, and like riddick they have special vision in the dark, it's the light that they are afraid of, thus this gives our survivors a glimmer (ahem) of hope in how to stave them off... 

the science and logic is hokey, but so what? this is a classy and taut sci-fi film brought about by a very under valued director, one that puts many a bigger budgeted hollywood production to shame. come the finale, where there's still time to have your draw dropped, you may be minus nails and on the edge of your seat. 9/10",high
22,"one of those few movies that most people don't care for, but i personally think is **criminally** underrated.

_final rating:★★★★½ - ridiculously strong appeal. i can’t stop thinking about it._",high
24,"the movie that put vin diesel on the map as riddick, the crooked anti-hero wanted by bounty hunters. this is another movie that benefits from knowing very little before watching the film.",high
29,"i want be patrick bateman, well without the sociopathic tendencies and the murder, but his workout routine, apartment, and job are cool...

jokes aside, this movie bangs, literally and metaphorically. christian bale is great. the cast is stacked. cool imagery, fantastically paced, and some wild turns the had me baffled.

score: 90%
verdict: excellent",high
31,"**there should have been only one!**

if “highlander 2” was a complete disgrace and “highlander 3” somehow tried to give us some compensation, this movie makes it look worse and more worn out. however, a tv series had been made that had little or nothing to do with the original film. what this movie came to try to do is to bring together the best of both worlds, but it failed completely.

the problems start at the bottom, that is, in the miserably written script and without ideas that can truly be considered good or intelligent. at no time did i feel that the story of this film was interesting or captivating enough to justify the effort of seeing it. from the development it makes, we must assume that the action takes place after what we saw in the original film, which doesn't make much sense if we remember that this film ends in the victory of connor, the last and only immortal. the film has lots of plot holes and moments where logic and coherence take a vacation and disappear. the dialogues are poor, poorly finished and annoying. historical flashbacks don't always work.

the cast counts, for the last time, with the honorable participation of christopher lambert, now a mature actor. so mature it sounds dangerously old for the role he plays. despite this, the actor does what he can with what little he has. adrian paul also doesn't let us down and gives a good performance, considering the filthy and regrettable quality of the material written for this film. bruce payne sounds histrionic and unconvincing, but he does what he has to do. the rest of the actors don't really have anything really good worth mentioning in detail.

victim of a very low budget, the film appears for what it is: a very cheap and undercooked production, which tastes bad and looks even worse than it tastes. an excuse for an action movie with swords and frantic duels amid a series of abandoned or deserted industrial sites. the cinematography, sets and costumes are what we would expect to find, but the visual effects and cgi are poor, amateurish and really inexcusable in a 2000s full-length film. it's a disgraceful film.",low
