,tconst,averageRating,numVotes
17961,tt0035423,6.4,87153
40764,tt0062336,6.4,175
46487,tt0068865,5.4,74
46645,tt0069049,6.7,7754
58971,tt0083283,6.7,65
63640,tt0088751,5.2,336
69953,tt0096056,5.6,846
70113,tt0096235,5.8,62
73596,tt0100275,6.5,347
76168,tt0103340,6.3,354
80465,tt0108549,7.7,33
84153,tt0113026,5.6,1406
84204,tt0113092,3.4,837
85278,tt0114447,4.1,159
86486,tt0115937,7.7,13
86859,tt0116391,6.2,262
87053,tt0116628,6.3,62
87287,tt0116916,4.1,188
87480,tt0117163,6.5,54
87952,tt0117743,6.7,63
88289,tt0118141,5.3,934
88298,tt0118154,6.4,8
88641,tt0118589,2.4,23873
88690,tt0118652,4.9,1877
88724,tt0118694,8.1,158143
88740,tt0118710,6.3,156
88864,tt0118852,7.1,4500
88933,tt0118926,6.9,6761
89001,tt0119004,5.6,4608
89194,tt0119231,4.4,188
89231,tt0119273,5.4,9033
89412,tt0119495,5.0,152
89676,tt0119806,6.0,44
89816,tt0119966,6.7,8
89819,tt0119970,5.9,125
89827,tt0119980,6.5,75
89985,tt0120166,4.2,650
90018,tt0120202,6.7,21780
90073,tt0120263,7.5,19775
90244,tt0120467,5.2,4216
90343,tt0120589,7.1,190
90355,tt0120607,4.9,79
90368,tt0120624,6.6,170
90370,tt0120626,7.0,3252
90373,tt0120630,7.1,200489
90400,tt0120667,5.7,337219
90405,tt0120673,6.6,35
90408,tt0120679,7.3,92825
90410,tt0120681,6.7,160185
90425,tt0120698,4.4,364
90448,tt0120733,5.6,358
90450,tt0120737,8.8,1927480
90463,tt0120753,5.7,22056
90465,tt0120755,6.1,360362
90506,tt0120804,6.6,279972
90508,tt0120807,4.8,324
90516,tt0120824,6.7,33515
90573,tt0120903,7.3,630315
90577,tt0120912,6.2,389517
90578,tt0120913,6.6,62743
90580,tt0120917,7.4,214829
90724,tt0121164,7.3,285807
91042,tt0121765,6.6,733687
91043,tt0121766,7.6,816713
91267,tt0122161,4.8,433
91319,tt0122247,5.2,786
91464,tt0122459,6.9,21950
91835,tt0123003,6.0,1573
91868,tt0123055,3.8,141
92210,tt0123581,5.1,74
93017,tt0124889,5.4,112
93100,tt0125022,6.2,56540
93740,tt0126029,7.9,704584
94258,tt0126899,2.8,111
94503,tt0127349,6.5,7413
94876,tt0128158,4.8,104
94879,tt0128165,3.9,75
94895,tt0128216,3.3,294
95970,tt0130623,6.4,64486
96414,tt0131597,5.2,24
96474,tt0131704,4.3,20824
96623,tt0132078,6.0,239
96681,tt0132245,4.6,42328
96914,tt0132885,4.5,393
96932,tt0132910,4.9,11914
97018,tt0133063,7.8,333
97076,tt0133152,5.7,224223
97137,tt0133240,7.2,126239
